modality	feature_type	atlas/metric	task	balanced_data	accuracy	auc	balanced_accuracy	npv	ppv	sensitivity	specificity	
DWI	voxel_based	GM_MD	CN_vs_MCI	random downsampling	0.5686666666666668	0.4582962962962963	0.5686666666666668	0.5607972893119952	0.6043247863247864	0.44355555555555554	0.6937777777777778	
DWI	voxel_based	WM_FA	CN_vs_MCI	random downsampling	0.5637777777777778	0.48614814814814816	0.5637777777777778	0.5615832017655545	0.5810070318570318	0.516888888888889	0.6106666666666667	
DWI	voxel_based	WM_MD	CN_vs_MCI	random downsampling	0.5515555555555557	0.38851851851851854	0.5515555555555557	0.5367962289344642	0.5998835719835721	0.30666666666666664	0.7964444444444445	
DWI	voxel_based	WM_GM_FA	CN_vs_MCI	random downsampling	.5724444444444444	0.5407654320987655	0.5724444444444444	0.5657952749864514	0.5943888999889	0.5048888888888888	0.64	
DWI	voxel_based	WM_GM_MD	CN_vs_MCI	random downsampling	0.5726666666666667	0.4704691358024692	0.5726666666666667	0.5625942733736852	0.6178275058275059	0.4444444444444445	0.7008888888888889	
DWI	ROI_based	JHUDTI81_FA	CN_vs_MCI	random downsampling	0.574	0.4695061728395062	0.574	0.571677925669102	0.5917943112443113	0.5293333333333333	0.6186666666666667	
DWI	ROI_based	JHUDTI81_MD	CN_vs_MCI	random downsampling	0.5848888888888889	0.34358024691358025	0.5848888888888889	0.5586645080409787	0.7044883116883117	0.2906666666666667	0.8791111111111111	
DWI	ROI_based	HUTracts25_FA	CN_vs_MCI	random downsampling	0.5448888888888889	0.4436296296296296	0.5448888888888889	0.5596718503718503	0.5423124597624598	0.6128888888888889	0.47688888888888886	
DWI	ROI_based	HUTracts25_MD	CN_vs_MCI	random downsampling	0.5888888888888889	0.4129629629629629	0.5888888888888889	0.5779836607836607	0.63250106005106	0.44044444444444436	0.7373333333333333	
DWI	voxel_based	GM_FA	CN_vs_pMCI	random downsampling	0.6008	0.5596800000000001	0.6008	0.6444873015873015	0.5935904761904762	0.6704000000000001	0.5312	
DWI	voxel_based	GM_MD	CN_vs_pMCI	random downsampling	0.6207999999999999	0.42328000000000005	0.6208000000000001	0.6671523809523809	0.6053825396825396	0.744	0.49760000000000004	
DWI	voxel_based	WM_FA	CN_vs_pMCI	random downsampling	0.5492	0.46488	0.5492	0.5560380952380951	0.5480619047619048	0.6088	0.48960000000000004	0.9667368421052631
DWI	voxel_based	WM_MD	CN_vs_pMCI	random downsampling	0.6123999999999999	0.332	0.6124	0.6925619047619048	0.588784126984127	0.7944	0.4304000000000001	0.6987368421052631
